B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K00009	K00009	K00001	K00009	K00009	K00002	K00009	K00008	K00001	K00001	K00057
K00012	K00012	K00009	K00012	K00012	K00003	K00012	K00012	K00003	K00003	K00088
K00013	K00013	K00012	K00013	K00013	K00005	K00013	K00013	K00004	K00005	K00128
K00014	K00014	K00013	K00014	K00014	K00008	K00014	K00014	K00008	K00010	K00134
K00018	K00018	K00014	K00018	K00018	K00012	K00018	K00015	K00013	K00012	K00147
K00023	K00024	K00018	K00024	K00023	K00013	K00024	K00024	K00014	K00013	K00286
K00024	K00027	K00023	K00027	K00024	K00014	K00027	K00027	K00018	K00016	K00287
K00027	K00029	K00024	K00029	K00027	K00016	K00029	K00029	K00020	K00020	K00290
K00029	K00031	K00027	K00031	K00029	K00027	K00031	K00031	K00027	K00030	K00355
K00031	K00033	K00029	K00033	K00031	K00031	K00033	K00033	K00031	K00046	K00384
K00033	K00036	K00031	K00036	K00033	K00052	K00036	K00036	K00042	K00048	K00537
K00036	K00041	K00033	K00041	K00036	K00053	K00041	K00052	K00046	K00057	K00554
K00041	K00046	K00036	K00046	K00041	K00057	K00046	K00053	K00048	K00058	K00560
K00046	K00048	K00041	K00048	K00045	K00058	K00048	K00057	K00052	K00059	K00563
K00048	K00052	K00046	K00052	K00046	K00059	K00052	K00058	K00053	K00075	K00566
K00052	K00053	K00048	K00053	K00048	K00067	K00053	K00059	K00057	K00077	K00567
K00053	K00057	K00052	K00057	K00052	K00075	K00057	K00067	K00058	K00088	K00600
K00057	K00058	K00053	K00058	K00053	K00076	K00058	K00075	K00059	K00099	K00604
K00058	K00059	K00057	K00059	K00057	K00077	K00059	K00077	K00060	K00111	K00611
K00059	K00067	K00058	K00064	K00058	K00087	K00067	K00088	K00065	K00123	K00640
K00064	K00075	K00059	K00067	K00059	K00088	K00075	K00097	K00067	K00128	K00656
K00067	K00076	K00064	K00075	K00064	K00099	K00077	K00099	K00075	K00133	K00661
K00075	K00077	K00067	K00076	K00067	K00111	K00088	K00111	K00076	K00134	K00756
K00077	K00088	K00075	K00077	K00075	K00128	K00097	K00123	K00087	K00140	K00759
K00088	K00097	K00077	K00088	K00076	K00132	K00099	K00133	K00088	K00145	K00761
K00097	K00099	K00088	K00097	K00077	K00133	K00133	K00134	K00091	K00147	K00762
K00099	K00123	K00091	K00099	K00088	K00134	K00134	K00145	K00097	K00176	K00763
K00123	K00128	K00097	K00123	K00097	K00145	K00145	K00147	K00099	K00215	K00773
K00133	K00133	K00099	K00128	K00099	K00147	K00147	K00156	K00100	K00219	K00783
K00134	K00134	K00128	K00133	K00123	K00194	K00174	K00174	K00102	K00262	K00784
K00145	K00145	K00133	K00134	K00133	K00197	K00175	K00175	K00104	K00266	K00790
K00147	K00147	K00134	K00145	K00134	K00198	K00176	K00176	K00111	K00278	K00791
K00174	K00156	K00145	K00147	K00145	K00215	K00177	K00177	K00121	K00286	K00806
K00175	K00174	K00147	K00156	K00147	K00243	K00179	K00179	K00130	K00287	K00820
K00176	K00175	K00174	K00174	K00156	K00261	K00180	K00180	K00133	K00297	K00845
K00177	K00176	K00175	K00175	K00174	K00262	K00208	K00208	K00134	K00336	K00857
K00179	K00177	K00176	K00176	K00175	K00265	K00210	K00210	K00145	K00338	K00858
K00180	K00179	K00177	K00177	K00176	K00266	K00215	K00215	K00146	K00375	K00859
K00208	K00180	K00179	K00179	K00177	K00278	K00226	K00226	K00147	K00384	K00864
K00210	K00208	K00180	K00180	K00179	K00284	K00239	K00239	K00151	K00395	K00873
K00215	K00210	K00208	K00186	K00180	K00286	K00240	K00240	K00179	K00525	K00882
K00226	K00215	K00210	K00208	K00208	K00287	K00241	K00241	K00180	K00528	K00919
K00239	K00226	K00215	K00210	K00210	K00290	K00243	K00243	K00215	K00537	K00925
K00240	K00239	K00226	K00215	K00215	K00297	K00259	K00259	K00243	K00548	K00927
K00241	K00240	K00239	K00226	K00226	K00334	K00262	K00262	K00259	K00554	K00931
K00243	K00241	K00240	K00239	K00239	K00335	K00265	K00265	K00261	K00560	K00939
K00259	K00243	K00241	K00240	K00240	K00336	K00266	K00266	K00262	K00563	K00942
K00262	K00262	K00243	K00241	K00241	K00347	K00275	K00275	K00265	K00566	K00943
K00265	K00265	K00259	K00243	K00243	K00375	K00278	K00278	K00266	K00568	K00945
K00266	K00266	K00262	K00254	K00259	K00384	K00281	K00281	K00278	K00595	K00948
K00275	K00275	K00265	K00259	K00262	K00385	K00283	K00283	K00282	K00602	K00949
K00278	K00278	K00266	K00262	K00265	K00390	K00284	K00284	K00283	K00604	K00951
K00281	K00281	K00278	K00265	K00266	K00394	K00286	K00286	K00284	K00609	K00962
K00283	K00283	K00281	K00266	K00275	K00395	K00287	K00287	K00286	K00611	K00969
K00284	K00284	K00283	K00275	K00278	K00528	K00290	K00290	K00287	K00615	K00974
K00286	K00286	K00284	K00278	K00281	K00537	K00297	K00294	K00297	K00616	K00980
K00287	K00287	K00286	K00281	K00283	K00548	K00330	K00297	K00334	K00620	K00981
K00290	K00290	K00287	K00283	K00284	K00554	K00331	K00318	K00335	K00625	K00991
K00297	K00294	K00290	K00284	K00286	K00560	K00333	K00335	K00336	K00640	K00995
K00330	K00297	K00294	K00286	K00287	K00566	K00337	K00346	K00375	K00648	K01000
K00331	K00330	K00297	K00287	K00290	K00595	K00338	K00347	K00382	K00651	K01002
K00333	K00331	K00330	K00290	K00297	K00602	K00339	K00348	K00384	K00655	K01006
K00335	K00333	K00331	K00294	K00330	K00604	K00340	K00349	K00520	K00656	K01012
K00337	K00335	K00333	K00297	K00331	K00605	K00341	K00350	K00525	K00674	K01056
K00338	K00337	K00337	K00330	K00333	K00609	K00342	K00351	K00526	K00688	K01091
K00339	K00338	K00338	K00331	K00335	K00610	K00343	K00375	K00528	K00700	K01096
K00340	K00339	K00339	K00333	K00337	K00611	K00346	K00382	K00537	K00703	K01104
K00341	K00340	K00340	K00335	K00338	K00615	K00347	K00384	K00548	K00705	K01142
K00342	K00341	K00341	K00337	K00339	K00616	K00348	K00425	K00554	K00759	K01151
K00343	K00342	K00342	K00338	K00340	K00620	K00349	K00426	K00558	K00760	K01153
K00346	K00343	K00343	K00339	K00341	K00625	K00350	K00428	K00560	K00761	K01176
K00347	K00346	K00346	K00340	K00342	K00640	K00351	K00525	K00566	K00762	K01186
K00348	K00347	K00347	K00341	K00343	K00645	K00382	K00528	K00567	K00763	K01190
K00349	K00348	K00348	K00342	K00346	K00648	K00384	K00548	K00571	K00764	K01197
K00350	K00349	K00349	K00343	K00347	K00651	K00425	K00554	K00574	K00765	K01206
K00351	K00350	K00350	K00346	K00348	K00655	K00426	K00558	K00590	K00767	K01218
K00382	K00351	K00351	K00347	K00349	K00656	K00491	K00560	K00595	K00768	K01243
K00384	K00382	K00382	K00348	K00350	K00688	K00525	K00566	K00600	K00773	K01265
K00425	K00384	K00384	K00349	K00351	K00700	K00548	K00567	K00602	K00783	K01271
K00426	K00425	K00425	K00350	K00375	K00702	K00549	K00568	K00604	K00789	K01273
K00428	K00426	K00426	K00351	K00382	K00703	K00554	K00571	K00605	K00790	K01304
K00432	K00428	K00432	K00382	K00384	K00705	K00560	K00588	K00609	K00791	K01338
K00525	K00432	K00525	K00384	K00425	K00721	K00566	K00590	K00610	K00797	K01356
K00526	K00525	K00526	K00425	K00426	K00757	K00567	K00595	K00611	K00800	K01361
K00548	K00537	K00548	K00426	K00432	K00759	K00571	K00600	K00615	K00806	K01409
K00554	K00548	K00554	K00428	K00525	K00760	K00588	K00602	K00616	K00812	K01462
K00560	K00554	K00560	K00432	K00537	K00761	K00595	K00603	K00620	K00817	K01480
K00566	K00560	K00566	K00525	K00548	K00762	K00600	K00604	K00625	K00820	K01489
K00567	K00566	K00567	K00537	K00554	K00763	K00602	K00605	K00633	K00821	K01491
K00571	K00567	K00588	K00548	K00558	K00764	K00603	K00606	K00639	K00826	K01493
K00588	K00571	K00595	K00554	K00560	K00765	K00604	K00609	K00640	K00831	K01515
K00595	K00588	K00600	K00558	K00566	K00766	K00605	K00610	K00645	K00845	K01534
K00600	K00590	K00602	K00560	K00567	K00767	K00606	K00615	K00648	K00847	K01537
K00602	K00600	K00603	K00566	K00571	K00768	K00609	K00616	K00651	K00849	K01585
K00603	K00602	K00604	K00567	K00588	K00773	K00610	K00625	K00655	K00852	K01591
K00604	K00604	K00605	K00588	K00590	K00783	K00615	K00639	K00656	K00854	K01598
K00605	K00605	K00606	K00600	K00600	K00784	K00616	K00640	K00661	K00858	K01611
K00606	K00606	K00609	K00602	K00602	K00788	K00625	K00645	K00688	K00859	K01624
K00609	K00609	K00610	K00603	K00603	K00789	K00634	K00648	K00691	K00864	K01662
K00610	K00610	K00615	K00604	K00604	K00790	K00639	K00651	K00692	K00872	K01689
K00615	K00615	K00616	K00605	K00605	K00791	K00640	K00652	K00700	K00873	K01727
K00616	K00616	K00625	K00606	K00606	K00793	K00645	K00655	K00703	K00874	K01752
K00625	K00625	K00633	K00609	K00609	K00794	K00648	K00656	K00705	K00878	K01756
K00633	K00634	K00634	K00610	K00610	K00796	K00651	K00657	K00721	K00882	K01775
K00634	K00639	K00639	K00615	K00615	K00797	K00652	K00658	K00757	K00891	K01776
K00639	K00640	K00640	K00616	K00616	K00798	K00655	K00661	K00759	K00901	K01783
K00640	K00645	K00645	K00625	K00625	K00800	K00656	K00666	K00760	K00917	K01784
K00645	K00648	K00647	K00633	K00633	K00805	K00657	K00677	K00761	K00919	K01791
K00647	K00651	K00648	K00634	K00634	K00806	K00661	K00688	K00762	K00925	K01803
K00648	K00652	K00651	K00639	K00639	K00817	K00666	K00691	K00763	K00926	K01808
K00651	K00655	K00652	K00640	K00640	K00820	K00677	K00693	K00764	K00927	K01809
K00652	K00656	K00655	K00645	K00645	K00821	K00684	K00700	K00765	K00928	K01810
K00655	K00657	K00656	K00648	K00647	K00826	K00688	K00703	K00767	K00930	K01835
K00656	K00658	K00657	K00651	K00648	K00830	K00691	K00705	K00768	K00931	K01839
K00657	K00661	K00661	K00652	K00651	K00831	K00693	K00721	K00773	K00937	K01866
K00658	K00666	K00666	K00655	K00652	K00833	K00700	K00748	K00783	K00939	K01867
K00661	K00677	K00677	K00656	K00655	K00845	K00702	K00757	K00784	K00941	K01868
K00666	K00688	K00684	K00657	K00656	K00847	K00703	K00760	K00786	K00942	K01869
K00677	K00691	K00688	K00658	K00657	K00848	K00705	K00761	K00788	K00943	K01870
K00684	K00693	K00691	K00661	K00658	K00849	K00721	K00762	K00789	K00945	K01872
K00688	K00700	K00693	K00666	K00661	K00850	K00748	K00764	K00790	K00948	K01873
K00691	K00703	K00700	K00677	K00666	K00852	K00757	K00765	K00791	K00949	K01874
K00693	K00705	K00703	K00688	K00674	K00854	K00759	K00766	K00796	K00951	K01875
K00700	K00721	K00705	K00691	K00677	K00858	K00760	K00767	K00800	K00954	K01876
K00703	K00748	K00721	K00693	K00688	K00859	K00761	K00768	K00805	K00962	K01880
K00705	K00757	K00748	K00700	K00689	K00864	K00762	K00773	K00806	K00963	K01883
K00721	K00759	K00754	K00703	K00691	K00865	K00763	K00782	K00812	K00965	K01887
K00748	K00760	K00757	K00705	K00693	K00868	K00764	K00783	K00817	K00969	K01889
K00754	K00761	K00759	K00721	K00700	K00873	K00765	K00784	K00820	K00973	K01890
K00757	K00762	K00760	K00748	K00703	K00876	K00766	K00788	K00821	K00974	K01892
K00759	K00763	K00761	K00757	K00705	K00878	K00767	K00789	K00826	K00975	K01893
K00760	K00764	K00762	K00759	K00713	K00882	K00768	K00790	K00831	K00981	K01914
K00761	K00765	K00764	K00760	K00721	K00891	K00773	K00791	K00845	K00989	K01915
K00762	K00766	K00765	K00761	K00748	K00917	K00783	K00793	K00847	K00991	K01924
K00764	K00767	K00766	K00762	K00754	K00919	K00784	K00794	K00848	K00995	K01925
K00765	K00773	K00767	K00763	K00757	K00925	K00788	K00796	K00849	K00997	K01926
K00766	K00782	K00768	K00764	K00759	K00926	K00789	K00798	K00850	K01000	K01928
K00767	K00783	K00773	K00765	K00760	K00927	K00790	K00800	K00852	K01006	K01929
K00768	K00784	K00782	K00766	K00761	K00928	K00791	K00806	K00854	K01008	K01934
K00773	K00788	K00783	K00767	K00762	K00930	K00793	K00812	K00858	K01042	K01937
K00783	K00789	K00784	K00773	K00763	K00931	K00794	K00817	K00859	K01051	K01938
K00784	K00790	K00788	K00782	K00764	K00937	K00796	K00819	K00864	K01056	K01939
K00788	K00791	K00789	K00783	K00765	K00939	K00798	K00821	K00865	K01060	K01951
K00789	K00793	K00790	K00784	K00766	K00942	K00800	K00826	K00868	K01091	K01972
K00790	K00794	K00791	K00788	K00767	K00945	K00806	K00831	K00873	K01104	K01989
K00791	K00796	K00793	K00789	K00768	K00948	K00812	K00833	K00874	K01129	K01990
K00793	K00798	K00794	K00790	K00773	K00949	K00817	K00844	K00876	K01142	K01992
K00794	K00800	K00796	K00791	K00782	K00950	K00820	K00845	K00878	K01151	K02003
K00796	K00806	K00798	K00793	K00783	K00951	K00821	K00847	K00880	K01153	K02004
K00798	K00812	K00800	K00794	K00784	K00954	K00826	K00848	K00882	K01154	K02016
K00800	K00817	K00806	K00796	K00786	K00955	K00830	K00849	K00887	K01159	K02029
K00806	K00821	K00812	K00798	K00788	K00956	K00831	K00850	K00891	K01160	K02030
K00812	K00826	K00817	K00800	K00789	K00957	K00833	K00852	K00899	K01187	K02033
K00817	K00831	K00819	K00806	K00790	K00962	K00835	K00854	K00901	K01193	K02036
K00820	K00833	K00820	K00812	K00791	K00965	K00845	K00857	K00917	K01210	K02037
K00821	K00844	K00821	K00817	K00793	K00969	K00847	K00858	K00918	K01222	K02038
K00826	K00845	K00826	K00820	K00794	K00970	K00848	K00859	K00919	K01223	K02041
K00830	K00847	K00831	K00821	K00796	K00973	K00849	K00860	K00925	K01232	K02082
K00831	K00848	K00833	K00826	K00798	K00974	K00850	K00863	K00926	K01239	K02108
K00833	K00849	K00845	K00831	K00800	K00975	K00852	K00864	K00927	K01243	K02110
K00845	K00850	K00847	K00833	K00806	K00978	K00853	K00865	K00928	K01258	K02111
K00847	K00852	K00848	K00844	K00812	K00980	K00854	K00868	K00930	K01262	K02114
K00848	K00854	K00849	K00845	K00817	K00981	K00857	K00873	K00931	K01265	K02115
K00849	K00857	K00850	K00847	K00820	K00991	K00858	K00874	K00937	K01267	K02117
K00850	K00858	K00854	K00848	K00821	K00995	K00859	K00876	K00939	K01271	K02118
K00852	K00859	K00857	K00849	K00826	K00996	K00860	K00879	K00941	K01273	K02120
K00854	K00860	K00858	K00850	K00831	K01000	K00865	K00887	K00942	K01286	K02122
K00857	K00865	K00859	K00852	K00833	K01006	K00868	K00891	K00945	K01299	K02123
K00858	K00868	K00860	K00854	K00844	K01007	K00873	K00895	K00948	K01338	K02124
K00859	K00873	K00864	K00857	K00845	K01008	K00874	K00901	K00949	K01356	K02237
K00860	K00874	K00865	K00858	K00847	K01012	K00876	K00912	K00950	K01358	K02238
K00863	K00876	K00868	K00859	K00848	K01026	K00879	K00919	K00951	K01409	K02240
K00865	K00879	K00873	K00860	K00849	K01048	K00887	K00925	K00954	K01421	K02243
K00868	K00891	K00874	K00865	K00850	K01056	K00891	K00927	K00962	K01424	K02245
K00873	K00895	K00876	K00868	K00852	K01071	K00895	K00928	K00965	K01439	K02313
K00874	K00912	K00879	K00873	K00854	K01081	K00901	K00930	K00969	K01442	K02314
K00876	K00919	K00887	K00874	K00857	K01091	K00912	K00931	K00970	K01443	K02316
K00879	K00925	K00891	K00876	K00858	K01092	K00919	K00937	K00973	K01447	K02335
K00886	K00927	K00895	K00879	K00859	K01104	K00925	K00939	K00974	K01448	K02337
K00887	K00928	K00901	K00891	K00860	K01119	K00927	K00940	K00975	K01462	K02338
K00891	K00929	K00912	K00895	K00865	K01129	K00928	K00941	K00981	K01465	K02340
K00895	K00930	K00919	K00912	K00868	K01142	K00929	K00942	K00991	K01478	K02341
K00901	K00931	K00925	K00919	K00873	K01151	K00930	K00945	K00995	K01486	K02343
K00912	K00937	K00927	K00925	K00874	K01153	K00931	K00946	K00996	K01491	K02346
K00919	K00939	K00928	K00927	K00876	K01156	K00937	K00948	K01000	K01493	K02355
K00925	K00940	K00929	K00928	K00879	K01176	K00939	K00949	K01002	K01495	K02356
K00927	K00941	K00930	K00929	K00886	K01182	K00941	K00950	K01006	K01496	K02357
K00928	K00942	K00931	K00930	K00891	K01187	K00942	K00951	K01007	K01512	K02358
K00929	K00945	K00937	K00931	K00895	K01190	K00945	K00954	K01008	K01515	K02428
K00930	K00946	K00939	K00937	K00912	K01193	K00946	K00955	K01011	K01520	K02433
K00931	K00948	K00940	K00939	K00919	K01197	K00948	K00956	K01012	K01523	K02434
K00937	K00949	K00941	K00940	K00925	K01198	K00949	K00957	K01023	K01524	K02469
K00939	K00950	K00942	K00941	K00927	K01206	K00950	K00962	K01042	K01531	K02470
K00940	K00951	K00945	K00942	K00928	K01208	K00951	K00968	K01056	K01533	K02483
K00941	K00954	K00946	K00945	K00929	K01214	K00954	K00969	K01066	K01534	K02493
K00942	K00955	K00948	K00946	K00930	K01239	K00955	K00970	K01071	K01537	K02503
K00945	K00956	K00949	K00948	K00931	K01243	K00956	K00971	K01091	K01586	K02518
K00946	K00957	K00950	K00949	K00937	K01258	K00957	K00973	K01104	K01588	K02519
K00948	K00962	K00951	K00950	K00939	K01262	K00962	K00974	K01129	K01591	K02520
K00949	K00969	K00954	K00951	K00940	K01265	K00968	K00979	K01138	K01595	K02528
K00950	K00970	K00955	K00954	K00941	K01267	K00969	K00980	K01142	K01610	K02529
K00951	K00971	K00956	K00955	K00942	K01270	K00970	K00981	K01151	K01620	K02538
K00954	K00973	K00957	K00956	K00945	K01286	K00971	K00991	K01153	K01624	K02563
K00955	K00974	K00962	K00957	K00946	K01338	K00973	K00996	K01154	K01625	K02600
K00956	K00978	K00969	K00962	K00948	K01356	K00974	K01000	K01163	K01626	K02601
K00957	K00979	K00970	K00968	K00949	K01358	K00979	K01006	K01190	K01633	K02621
K00962	K00981	K00971	K00969	K00950	K01387	K00980	K01012	K01200	K01647	K02622
K00968	K00991	K00973	K00970	K00951	K01409	K00981	K01053	K01206	K01662	K02744
K00969	K00995	K00974	K00971	K00954	K01420	K00983	K01056	K01208	K01689	K02745
K00970	K00996	K00978	K00973	K00955	K01421	K00986	K01057	K01214	K01693	K02746
K00971	K01000	K00979	K00974	K00956	K01439	K00991	K01058	K01239	K01710	K02747
K00973	K01006	K00981	K00978	K00957	K01442	K00995	K01067	K01243	K01714	K02760
K00974	K01012	K00983	K00979	K00962	K01443	K00996	K01070	K01246	K01733	K02761
K00979	K01051	K00986	K00980	K00969	K01448	K01000	K01071	K01247	K01735	K02803
K00980	K01056	K00991	K00981	K00970	K01449	K01006	K01077	K01259	K01736	K02804
K00981	K01057	K00996	K00986	K00971	K01462	K01012	K01079	K01262	K01738	K02824
K00986	K01067	K01000	K00991	K00973	K01464	K01051	K01082	K01265	K01740	K02835
K00991	K01070	K01006	K00995	K00974	K01465	K01053	K01089	K01267	K01751	K02836
K00995	K01071	K01012	K00996	K00979	K01480	K01056	K01091	K01270	K01752	K02838
K00996	K01077	K01023	K01000	K00981	K01486	K01057	K01092	K01271	K01755	K02860
K01000	K01079	K01051	K01006	K00986	K01487	K01067	K01104	K01273	K01756	K02863
K01006	K01081	K01056	K01012	K00991	K01489	K01070	K01113	K01286	K01770	K02864
K01012	K01082	K01057	K01014	K00995	K01491	K01071	K01119	K01297	K01775	K02867
K01051	K01089	K01067	K01051	K00996	K01493	K01077	K01126	K01305	K01776	K02871
K01056	K01091	K01070	K01056	K01000	K01495	K01079	K01129	K01338	K01779	K02874
K01057	K01092	K01071	K01057	K01006	K01496	K01081	K01130	K01356	K01783	K02876
K01067	K01095	K01077	K01067	K01012	K01512	K01082	K01139	K01358	K01784	K02878
K01070	K01104	K01079	K01070	K01023	K01515	K01089	K01142	K01387	K01785	K02879
K01071	K01119	K01081	K01071	K01051	K01520	K01091	K01144	K01409	K01788	K02881
K01077	K01126	K01082	K01077	K01056	K01524	K01092	K01151	K01420	K01803	K02884
K01079	K01129	K01089	K01079	K01057	K01533	K01095	K01155	K01421	K01808	K02886
K01081	K01130	K01091	K01081	K01067	K01534	K01104	K01156	K01424	K01809	K02887
K01082	K01133	K01092	K01082	K01070	K01537	K01119	K01159	K01443	K01810	K02888
K01089	K01139	K01104	K01089	K01071	K01560	K01126	K01163	K01447	K01814	K02890
K01091	K01142	K01119	K01091	K01077	K01567	K01129	K01173	K01448	K01819	K02895
K01092	K01144	K01126	K01092	K01079	K01571	K01130	K01176	K01449	K01834	K02899
K01095	K01151	K01129	K01095	K01081	K01572	K01133	K01178	K01462	K01835	K02902
K01104	K01153	K01130	K01104	K01082	K01585	K01138	K01182	K01464	K01854	K02904
K01119	K01154	K01139	K01119	K01089	K01586	K01139	K01185	K01465	K01866	K02906
K01126	K01155	K01142	K01126	K01091	K01588	K01142	K01186	K01486	K01867	K02909
K01129	K01159	K01144	K01129	K01092	K01591	K01144	K01187	K01487	K01868	K02913
K01130	K01163	K01151	K01130	K01095	K01598	K01151	K01190	K01488	K01869	K02914
K01138	K01173	K01153	K01133	K01104	K01609	K01153	K01191	K01489	K01870	K02916
K01139	K01186	K01154	K01139	K01119	K01610	K01154	K01197	K01491	K01872	K02926
K01142	K01187	K01155	K01142	K01126	K01613	K01155	K01200	K01493	K01873	K02931
K01144	K01190	K01159	K01144	K01129	K01620	K01159	K01201	K01495	K01874	K02933
K01151	K01192	K01163	K01151	K01130	K01624	K01163	K01206	K01496	K01875	K02935
K01153	K01195	K01173	K01153	K01133	K01626	K01173	K01209	K01512	K01876	K02939
K01154	K01197	K01178	K01154	K01139	K01628	K01178	K01218	K01515	K01878	K02946
K01155	K01200	K01181	K01155	K01142	K01639	K01179	K01241	K01520	K01879	K02948
K01159	K01205	K01183	K01159	K01144	K01644	K01183	K01246	K01531	K01881	K02950
K01163	K01206	K01185	K01163	K01151	K01647	K01185	K01251	K01533	K01883	K02952
K01173	K01207	K01186	K01173	K01153	K01649	K01186	K01256	K01534	K01885	K02954
K01176	K01209	K01187	K01176	K01154	K01652	K01187	K01258	K01537	K01887	K02956
K01179	K01224	K01190	K01179	K01155	K01653	K01190	K01262	K01546	K01889	K02959
K01181	K01241	K01192	K01183	K01159	K01657	K01191	K01265	K01547	K01890	K02961
K01183	K01243	K01197	K01186	K01163	K01658	K01192	K01270	K01548	K01892	K02963
K01185	K01246	K01198	K01187	K01173	K01662	K01195	K01271	K01567	K01893	K02965
K01187	K01251	K01200	K01190	K01176	K01664	K01197	K01273	K01571	K01915	K02967
K01190	K01258	K01201	K01191	K01178	K01665	K01198	K01274	K01572	K01921	K02970
K01191	K01262	K01205	K01192	K01179	K01677	K01200	K01277	K01585	K01923	K02982
K01192	K01265	K01206	K01193	K01181	K01678	K01201	K01278	K01586	K01924	K02986
K01193	K01270	K01209	K01197	K01183	K01681	K01206	K01284	K01588	K01925	K02988
K01198	K01271	K01235	K01200	K01186	K01687	K01209	K01337	K01591	K01928	K02990
K01200	K01277	K01241	K01201	K01187	K01689	K01218	K01338	K01598	K01929	K02992
K01201	K01278	K01243	K01205	K01190	K01693	K01224	K01358	K01599	K01933	K02994
K01205	K01284	K01246	K01206	K01191	K01695	K01241	K01372	K01610	K01934	K02996
K01206	K01297	K01256	K01208	K01192	K01696	K01243	K01409	K01613	K01937	K03040
K01209	K01338	K01258	K01209	K01195	K01698	K01246	K01414	K01619	K01938	K03043
K01218	K01358	K01262	K01224	K01198	K01699	K01258	K01415	K01620	K01939	K03046
K01224	K01372	K01265	K01235	K01200	K01703	K01262	K01424	K01623	K01940	K03070
K01235	K01409	K01270	K01241	K01201	K01704	K01265	K01425	K01624	K01945	K03075
K01241	K01414	K01271	K01243	K01205	K01709	K01270	K01438	K01625	K01950	K03076
K01243	K01424	K01273	K01246	K01206	K01710	K01271	K01442	K01628	K01951	K03086
K01246	K01425	K01274	K01251	K01209	K01714	K01273	K01443	K01639	K01952	K03088
K01251	K01433	K01277	K01258	K01218	K01733	K01274	K01447	K01647	K01953	K03101
K01258	K01438	K01278	K01262	K01224	K01734	K01277	K01448	K01649	K01955	K03106
K01262	K01442	K01284	K01265	K01235	K01735	K01278	K01462	K01652	K01956	K03110
K01265	K01443	K01338	K01270	K01241	K01736	K01284	K01465	K01653	K01961	K03151
K01270	K01447	K01358	K01271	K01243	K01738	K01297	K01468	K01662	K01962	K03168
K01271	K01448	K01372	K01277	K01251	K01740	K01338	K01476	K01677	K01963	K03177
K01277	K01462	K01409	K01278	K01258	K01749	K01358	K01480	K01678	K01972	K03215
K01278	K01465	K01414	K01284	K01262	K01751	K01372	K01486	K01681	K01989	K03216
K01284	K01470	K01424	K01297	K01265	K01752	K01409	K01487	K01687	K01990	K03217
K01297	K01487	K01425	K01338	K01270	K01754	K01414	K01489	K01689	K01992	K03218
K01322	K01489	K01433	K01358	K01271	K01755	K01424	K01491	K01693	K01995	K03308
K01338	K01491	K01438	K01364	K01277	K01756	K01425	K01493	K01696	K01996	K03311
K01358	K01493	K01442	K01372	K01278	K01759	K01433	K01495	K01698	K01997	K03386
K01372	K01495	K01443	K01409	K01284	K01770	K01438	K01520	K01703	K01998	K03424
K01409	K01515	K01447	K01414	K01297	K01775	K01442	K01531	K01704	K01999	K03426
K01414	K01520	K01448	K01424	K01322	K01776	K01447	K01533	K01710	K02003	K03431
K01424	K01524	K01462	K01425	K01338	K01778	K01448	K01534	K01714	K02004	K03437
K01425	K01533	K01465	K01433	K01358	K01783	K01462	K01537	K01733	K02005	K03438
K01433	K01534	K01468	K01438	K01372	K01784	K01465	K01546	K01734	K02006	K03439
K01438	K01537	K01470	K01442	K01409	K01785	K01468	K01547	K01735	K02007	K03466
K01442	K01546	K01487	K01443	K01414	K01790	K01470	K01548	K01736	K02008	K03470
K01443	K01547	K01489	K01447	K01424	K01803	K01489	K01560	K01738	K02013	K03471
K01447	K01548	K01491	K01448	K01425	K01804	K01491	K01571	K01740	K02015	K03495
K01448	K01572	K01493	K01462	K01433	K01808	K01493	K01572	K01751	K02016	K03496
K01462	K01573	K01495	K01465	K01438	K01810	K01495	K01573	K01752	K02017	K03497
K01465	K01579	K01515	K01468	K01442	K01817	K01515	K01579	K01753	K02018	K03499
K01468	K01580	K01520	K01487	K01443	K01818	K01520	K01580	K01754	K02019	K03500
K01470	K01585	K01524	K01489	K01447	K01835	K01533	K01586	K01755	K02020	K03501
K01476	K01586	K01533	K01491	K01448	K01839	K01534	K01588	K01756	K02028	K03502
K01487	K01588	K01534	K01493	K01462	K01840	K01537	K01591	K01759	K02029	K03523
K01489	K01591	K01537	K01495	K01465	K01845	K01546	K01607	K01770	K02030	K03524
K01491	K01609	K01546	K01515	K01468	K01854	K01547	K01609	K01775	K02031	K03525
K01493	K01610	K01547	K01520	K01470	K01866	K01548	K01610	K01776	K02032	K03529
K01495	K01613	K01548	K01524	K01476	K01867	K01572	K01613	K01778	K02033	K03531
K01520	K01619	K01551	K01531	K01487	K01868	K01573	K01619	K01783	K02034	K03536
K01524	K01620	K01572	K01533	K01489	K01869	K01579	K01620	K01784	K02035	K03545
K01531	K01624	K01573	K01534	K01491	K01870	K01580	K01624	K01785	K02036	K03546
K01533	K01625	K01579	K01537	K01493	K01872	K01585	K01625	K01788	K02037	K03547
K01534	K01627	K01580	K01546	K01495	K01873	K01586	K01627	K01790	K02038	K03550
K01537	K01629	K01585	K01547	K01515	K01874	K01588	K01629	K01803	K02039	K03551
K01546	K01633	K01586	K01548	K01520	K01875	K01591	K01633	K01808	K02040	K03553
