B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K05936	K07011	K06177	K06177	K06142	K07112	K06287	K06158	K07098	K20487	
K05970	K07025	K06178	K06178	K06143	K07133	K06373	K06167	K07105	K20488	
K05988	K07027	K06180	K06180	K06147	K07137	K06381	K06168	K07107	K20490	
K05989	K07037	K06187	K06187	K06153	K07138	K06518	K06173	K07112	K20491	
K06001	K07043	K06199	K06188	K06158	K07139	K06859	K06177	K07124	K20492	
K06019	K07052	K06200	K06199	K06167	K07141	K06861	K06178	K07133	K21009	
K06041	K07056	K06201	K06200	K06168	K07149	K06871	K06180	K07137	K21011	
K06042	K07058	K06207	K06201	K06173	K07162	K06872	K06182	K07138	K21012	
K06076	K07071	K06213	K06207	K06177	K07166	K06881	K06187	K07139	K21071	
K06079	K07078	K06217	K06213	K06178	K07171	K06885	K06200	K07171	K21449	
K06113	K07079	K06287	K06217	K06180	K07173	K06889	K06201	K07173	K21471	
K06131	K07082	K06373	K06223	K06187	K07216	K06891	K06207	K07175	K21498	
K06142	K07085	K06381	K06287	K06188	K07238	K06911	K06213	K07216	K21600	
K06143	K07091	K06400	K06373	K06199	K07240	K06920	K06217	K07219	K21636	
K06147	K07095	K06518	K06381	K06200	K07258	K06921	K06218	K07238	K21903	
K06153	K07098	K06861	K06518	K06201	K07271	K06925	K06223	K07240	K21929	
K06158	K07106	K06871	K06861	K06207	K07282	K06926	K06281	K07258	K22015	
K06167	K07107	K06872	K06871	K06213	K07284	K06941	K06282	K07271	K22132	
K06168	K07114	K06881	K06872	K06217	K07301	K06942	K06287	K07284	K22293	
K06173	K07118	K06885	K06881	K06223	K07315	K06949	K06373	K07301		
K06177	K07126	K06889	K06885	K06287	K07321	K06950	K06381	K07318		
K06178	K07132	K06891	K06889	K06373	K07335	K06959	K06518	K07319		
K06180	K07133	K06909	K06894	K06381	K07391	K06966	K06859	K07343		
