Source	Target	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_ovatus	B_caccae	1.267751666599857e-09	1.8423585737873592e-09	1.7863802284611895e-09	2.1141249242594087e-09	-4.260583386722864e-09	4.1096311191504065e-09	0.12229016120066703
B_ovatus	B_cellulosilyticus_WH2	3.267475781576515e-09	3.267234062928823e-09	2.8016669536176866e-09	1.4516780609719614e-09	4.758784925357434e-10	5.936179731088562e-09	0.35746878269192245
B_ovatus	B_thetaiotaomicron	2.368545466118095e-09	2.493410457022994e-09	1.5157414069008926e-09	1.4555380264265103e-09	-1.0477624501113779e-09	5.6757960059827825e-09	0.13697411722849773
B_ovatus	B_uniformis	4.954879100377659e-09	5.0266661664536485e-09	4.8294427595435494e-09	1.6544291110279332e-09	1.1688484820110498e-09	7.974235876789696e-09	1.7021800714373692
B_ovatus	B_vulgatus	2.905713743668586e-09	3.2532086567498424e-09	3.2304413758482922e-09	2.111090629988225e-09	-3.7767633650695925e-09	5.783864170330611e-09	0.9278971681060454
B_ovatus	C_aerofaciens	5.1348635263301785e-09	5.089870801568341e-09	5.106178256657452e-09	1.5352223674218834e-09	2.310550681829957e-09	8.246017418591934e-09	16.70053795576808
B_ovatus	C_scindens	4.48497824036263e-09	4.1926173588191684e-09	3.78141265053348e-09	2.0874136233202603e-09	8.036723550295524e-10	8.465521505539782e-09	0.9402233951147662
B_ovatus	C_spiroforme	3.978803251261869e-10	7.267918501017402e-10	1.2859617683556454e-09	1.2803455537254513e-09	-2.387617721711644e-09	1.934240501896932e-09	0.0488997555012225
B_ovatus	P_distasonis	5.103735690904804e-09	5.019052583324211e-09	4.504253340777925e-09	1.6610127717880673e-09	2.05372736678669e-09	8.678506919970135e-09	5.692465519206657
B_ovatus	R_obeum	6.4062705315196385e-09	6.322805103643479e-09	6.247264641030489e-09	2.220486076795354e-09	2.3578025566595127e-09	1.0798592906710035e-08	6.539438456785886
B_thetaiotaomicron	B_caccae	3.359202394400724e-09	3.4966592771176535e-09	3.148621067241942e-09	1.2659528177594776e-09	5.392534557149094e-10	5.539585213641723e-09	0.7407077080871368
B_thetaiotaomicron	B_cellulosilyticus_WH2	-1.6871816888875633e-09	-1.7983278894593364e-09	-2.7047081456638734e-09	1.2720554202345768e-09	-3.2509582937094416e-09	1.7149521430684525e-09	0.041563406421212895
B_thetaiotaomicron	B_ovatus	-2.980755130848893e-09	-2.958049436575881e-09	-3.0118918314289e-09	1.032372554699556e-09	-5.245278253841868e-09	-1.034206761668689e-09	1.6029278447436457
B_thetaiotaomicron	B_uniformis	-1.0944911772162606e-09	-1.3000140671437744e-09	-2.8237959126907845e-09	1.3500763754172403e-09	-3.035226221810956e-09	2.250531506193324e-09	0.053790926670964016
B_thetaiotaomicron	B_vulgatus	1.4439478756005773e-09	1.929549265003527e-09	1.6187433989310552e-09	1.6233740305619225e-09	-3.258513710036561e-09	3.6875651887015537e-09	0.09782125389061805
B_thetaiotaomicron	C_aerofaciens	5.00008381807691e-10	9.418058325305075e-10	-1.6841298205640039e-09	1.5302756412712296e-09	-1.6841298205640039e-09	3.3552567600468105e-09	0.03911806543385491
