Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Interaction_evidence
Csp	Bov	-	-8.113317018730731	27.503867247925747	Strong
Csp	Bth	-	-8.397406852161883	22.647058823529413	Strong
Csp	Bun	-	-8.462925340343787	21.272162310363736	Strong
Csp	Bvu	-	-8.057976858020783	28.95091706351077	Strong
Csp	Cae	-	-8.912441204484963	24.71635150166852	Strong
Csp	Csc	-	-8.102183529318719	29.15062287655719	Strong
Csp	Pdi	-	-9.254255344579889	21.5591545429591	Strong
Csp	Rob	-	-8.521780939842145	23.598615916955016	Strong
Pdi	Bca	-	-9.420303981943372	12.138931633326006	Strong
Pdi	Bce	-	-9.130603516554627	21.36039495337356	Strong
Pdi	Bov	-	-9.006935533194337	27.06377801693884	Strong
Pdi	Bth	-	-9.447546396919822	12.527414453692694	Strong
Pdi	Bun	-	-9.327009395948172	15.294117647058824	Strong
Pdi	Bvu	-	-10.207979111051444	4.118171399465172	Moderate
Pdi	Cae	-	-8.446765012773863	89.04302019315189	Strong
Pdi	Csc	-	-9.498488198683743	15.735333511920707	Strong
Pdi	Csp	-	-8.448503558611204	81.04338901875819	Strong
Pdi	Rob	-	-9.101942680385807	23.89117280243892	Strong
Rob	Bca	-	-8.390203406858948	113.35437843298187	Very strong
Rob	Bce	-	-8.031769662731211	331.55123785647135	Very strong
Rob	Bov	-	-8.673599758664015	50.63044592516658	Strong
Rob	Bth	-	-9.182328437891616	18.37471783295711	Strong
Rob	Bun	-	-8.894002199227453	34.973923121498935	Strong
Rob	Bvu	-	-9.764345003417544	7.047946678133735	Moderate
Rob	Cae	-	-8.797001320344856	42.9089279490116	Strong
Rob	Csc	-	-8.541454082583417	73.82303839732889	Strong
Rob	Csp	-	-8.295361334392547	104.5635603639046	Very strong
Rob	Pdi	+	-10.26132032427694	12.2921249450066	Strong
