sampleID	measurement1	measurement2	measurement3
7-D44AM	28819777221.6021	40823752485.4537	43374834693.3021
7-D44PM	23325117304.7106	20428184296.9066	48888218328.5575
7-D45AM	21752596427.0418	19336210408.9685	29981047322.1784
7-D45PM	25747284666.1874	16301997692.9297	29677582904.0499
7-D46	9351300900.98102	16881905730.8716	22862167536.6051
7-D47	16894798330.2274	46962118331.6707	25426277171.4004
7-D4AM	23195960348.813	21689526552.1179	28181795762.0709
7-D4PM	32867311337.6405	48800697380.7893	59786242756.6466
7-D5	54869398392.1918	63435443132.1669	89981573217.2962
7-D50AM	35978763068.902	44266676277.055	62475816369.7376
7-D50PM	21117068027.7985	74162360500.8291	31596212667.3596
7-D51AM	17823621872.2513	25780550052.1895	36258775498.4956
7-D51PM	64333079040.3717	58942732716.1006	52614346930.6737
7-D52AM	32957824425.5516	142994452041.354	40583422152.8047
7-D52PM	22527038570.1477	52511364672.9495	58870620278.2983
7-D53	46761489268.1198	59700862826.4425	21169451917.6255
7-D54	17236937188.8529	30209629376.4675	37057172593.8602
7-D57AM	119578520352.17	186620497328.839	301739557712.896
7-D58AM	79260815797.4774	140889616217.419	137086899569.125
7-D58PM	35391752767.6327	48767456132.9961	52327113454.2121
7-D59AM	35657318343.8116	55885638421.8385	57785845699.396
7-D59PM	68089272866.6834	36322686681.016	74336115138.0721
7-D6	61296626359.1808	114103017845.673	76228502754.4145
7-D60AM	68859178682.4768	53518253903.8068	91034045957.6918
7-D60PM	87810002498.2071	91695090205.8953	125735649153.796
7-D61	20943034678.7095	36547018209.1387	44416045487.4899
7-D62	22572226670.901	39232447793.9489	57687116474.7528
7-D63	71936082041.4741	128007331830.716	127772906537.585
7-D64AM	5148949149.00128	12051852491.8084	11359829666.0441
7-D64PM	88671239199.4198	90156933342.0741	131925982969.749
7-D7	159961120730.783	68970229950.8774	126490528660.72
7-D8	141699096262.609	249270084581.094	182027358910.574
7-D9	53169131145.6187	35603991815.0427	130319379556.568
8-D0AM	4590851.22596829	14729517.1725925	6405129.50886444
8-D0PM	12234076335.4877	13780188157.7191	20840518508.7892
8-D10	51884984948.4248	72719119013.4235	82459501896.1126
8-D11	150530264362.367	326310286094.963	103722959157.372
8-D14	56748995713.1508	123124804264.767	121139826885.066
8-D16	69228697300.5122	39944842119.5504	55614083413.115
8-D18	123294431770.773	216928200084.385	229218746586.362
8-D1AM	21186229587.3954	30204752930.6091	21084846692.4721
8-D1PM	13696853823.6909	27147436265.8038	36969086015.7322
8-D21AM	27809687569.5515	51362341480.8117	36217137933.5355
8-D21PM	543815429323.58	376386096816.429	588291269110.003
8-D22AM	115771055654.33	165339937979.4	149086894041.988
8-D22PM	85183281864.6886	58290892567.3413	82189779627.6718
8-D23AM	51587884127.1587	80080696329.7209	56185487895.6088
8-D23PM	59140971374.0116	115338120259.033	128103178790.362
8-D24	128054188104.45	203474523518.278	214224908044.337
8-D25	195480723076.855	385784088851.426	128984256495.139
8-D28AM	89769314089.3787	35944874994.216	69937578973.8716
8-D28PM	554069281078.373	488570111568.559	467767975858.059
8-D29AM	273437349738.54	396561071841.307	200319827870.884
8-D29PM	129716632398.674	58087476433.7651	129522074596.133
8-D2AM	53110678752.5394	81419519241.0374	44971900034.7199
8-D2PM	23008658615.7617	24764147524.1981	34809785730.1071
8-D30AM	167929937292.131	262269965433.009	289473278712.83
8-D30PM	47294517231.6808	124461392109.583	112367572937.569
8-D31AM	418963503320.684	576162876670.069	595768755824.132
8-D31PM	417397100190.051	391183289432.89	366615099123.276
8-D32	6331310995.34495	11098058221.6374	5219041483.28789
8-D33	40724840397.1108	45141389614.5664	43864313922.6233
8-D35AM	140037241062.26	170920055698.288	220106681551.09
8-D35PM	83695111093.4924	111256886192.659	154561505254.304
8-D36AM	116579472091.352	138432374831.078	192525428309.117
8-D36PM	193156453021.129	305051289570.58	246533464058.71
8-D37AM	49775639399.7054	110662692473.389	47915056520.1304
8-D37PM	49268067090.8312	40794676937.7851	90021094957.5509
8-D38	99981890984.5001	43866089832.6644	107105288821.996
8-D39	88990049133.0973	130777463546.721	128533073787.17
8-D3AM	30176078096.6088	31010144795.6655	56118006311.1308
8-D3PM	6044545437.87195	11492310348.3203	14639425692.9983
8-D42AM	76393644045.0135	75375975497.349	47131022586.4626
8-D42PM	27482292386.8298	33089165614.2779	48212430540.4523
8-D43AM	16199577653.6678	16158154322.2553	31498002319.4255
