ExcludedCluster	SampleIdx	Ky
0	2330	-0.03675027885912989
0	2340	-0.028899077744975264
0	2350	-0.052569645052025306
0	2360	-0.15480767452896654
0	2370	-0.06612640643608847
0	2380	-0.03201475966779865
0	2390	-0.20693715429200737
0	2400	-0.06942575448165308
0	2410	-0.01905089862689957
0	2420	-0.17588276285124343
0	2430	-0.027483080583613883
0	2440	-0.020983845417047852
0	2450	-0.017037222585254596
0	2460	5.8654722822737426e-05
0	2470	-0.04450736957844352
0	2480	-0.01052582303796692
0	2490	-0.01685544660047169
0	2500	0.07414768395818552
0	2510	-0.22356750411050444
0	2520	-0.2063468245016483
0	2530	-0.2233926927515218
0	2540	-0.22872659091073863
0	2550	-0.22662777531697992
0	2560	-0.2721610729118427
0	2570	-0.3184608165434574
0	2580	-0.16850724203535386
0	2590	-0.038489228001460776
0	2600	-0.21580459933849427
0	2610	-0.16389380779001445
0	2620	-0.18511601227710087
0	2630	-0.17903898502952414
0	2640	-0.22810128869860727
0	2650	-0.2047426805762485
0	2660	-0.12357528056389482
0	2670	-0.12464503376469933
0	2680	-0.16506528751907518
0	2690	-0.19362008211391898
0	2700	-0.2680251419492123
0	2710	-0.24381647613394275
0	2720	-0.19570588889381516
0	2730	-0.03887756467503758
0	2740	-0.1481053322440154
0	2750	-0.17696198932057533
0	2760	-0.2282043477464561
0	2770	-0.056707512535868435
0	2780	-0.03567747934011063
0	2790	-0.06799450866854499
0	2800	-0.06977442414135444
0	2810	0.029018861818846275
0	2820	0.007255491316712171
0	2830	-0.008918377223246754
0	2840	-0.10758625646472035
0	2850	-0.017005398066824284
0	2860	0.0005920944140909157
0	2870	-0.1317800568668784
0	2880	-0.18050820434658793
0	2890	0.0
0	2900	-0.03152321468600823
0	2910	-0.028315548647611523
0	2920	-0.03486182371551472
0	2930	-0.024255090843817585
0	2940	-0.030037886854887307
0	2950	-0.0598928765923775
0	2960	-0.09094057636658608
0	2970	-0.06602330725031144
0	2980	-0.033717479143873776
0	2990	-0.0579069909751837
0	3000	-0.047966746547280704
0	3010	-0.05791147168644244
0	3020	-0.07670782910953226
0	3030	-0.0347406253815155
0	3040	-0.009994232270451864
0	3050	-0.0964739318883372
0	3060	-0.004322817431149861
0	3070	0.0
0	3080	0.0
0	3090	0.0
0	3100	0.0
0	3110	0.0
0	3120	0.12339403166790124
0	3130	-0.0026373940555309617
0	3140	0.0
0	3150	0.0
0	3160	0.0
0	3170	0.0
0	3180	0.0
0	3190	0.0
0	3200	0.0
0	3210	0.0
0	3220	0.0
0	3230	0.0
0	3240	0.0
0	3250	0.0
0	3260	0.0
