sampleID	measurement1	measurement2	measurement3
07-15	272971776.4097807	261692056.61021796	254788967.31435698
07-16	270157026.79632413	268827144.7323558	243565137.14280277
07-18	380572074.7190385	367947009.32044554	368012124.5597964
07-20	231539823.8640261	244582878.01219738	233575278.33793208
07-24	352637552.2783164	333596332.091441	361430398.1727765
07-25	367241053.674567	346171173.82606757	386483973.6135328
07-26	342071445.0130004	334583158.24493116	346933642.9020426
07-28	583539212.1268554	569008138.9323256	634384990.4899482
07-29	753636109.0366641	826344360.5016719	745247925.0746967
07-30	583864835.690035	611581506.8618555	557209093.309337
07-32	368068621.52406347	369679864.76053184	337128437.9711544
07-34	461094137.7775951	432842081.07974327	440599163.68409514
07-37	295760074.3130328	308246517.1454176	299340515.6197068
07-39	634218737.7134409	602500971.9602898	606036585.7234817
07-40	592898397.4965054	547103782.1075871	620668052.7713546
