sampleID	measurement1	measurement2	measurement3
03-06	267237592.12289426	260412275.37249878	277931076.9710202
03-09	320030122.8396913	301138229.69403183	315083826.1531006
03-11	200451584.1330661	200169125.51732194	198111646.02563152
03-12	555135705.475441	567024821.2316669	603230475.4000708
03-14	381884636.4851283	383154731.7496181	394954659.3034578
03-15	231799572.29027516	235305215.11657062	236097426.12485015
03-16	272031040.10406375	263403275.15881276	273963301.13527095
03-18	292611943.136933	287304823.2651704	314850375.62527424
03-20	374867133.066348	362262967.05843383	407098008.7524808
03-24	325740417.42411554	319884367.5777967	340879286.5746751
03-25	293380961.5709517	281452879.6647494	301921642.09468055
03-26	317677217.4118629	290257184.73310107	284406833.6497074
03-28	463336427.8724072	467446827.620559	466202671.3619317
03-29	515361246.2661076	505008130.065595	512008642.1630499
03-30	419334577.30367136	385154650.5663639	421304469.190207
03-32	766635523.0789927	784374788.9058266	802784154.6010976
03-34	773902831.9203202	738794793.2406769	667890636.0085483
03-37	456078453.9887328	457263012.7790596	443095905.9295412
03-39	538016172.1556875	557629297.8265673	545276817.5503564
03-40	398128736.346109	400696326.5096135	388835504.9801692
04-00	38610041.548066646	40809656.93657227	35874701.35319092
04-01	160204726.72337833	150313480.0683419	167165329.62092307
04-02	310253825.30428964	316495226.96701664	314548853.69969213
04-04	406356314.8043165	392442469.5595508	386625591.07754403
04-06	256727766.1053379	245549875.76331982	260768881.98768163
04-09	321841127.5638578	312526246.12397075	335062131.1616809
04-11	164432080.59383157	161870619.04023254	164475594.63597414
04-12	186596598.04802963	187120611.13744333	194065731.4898903
04-14	401525868.81750774	378133978.7113519	403097043.0587876
04-15	276435119.7064631	288886123.59425974	270972361.1498871
04-16	302581656.0157461	309626701.6236449	285040687.0222002
04-18	239667006.1703125	221257659.91840714	238637267.68741223
04-20	182730778.34255344	196328252.42966756	184505943.33233172
04-24	326249800.89427334	357176474.20415264	340536814.0985007
04-25	288291278.32018805	305282871.791555	286632054.3584689
04-26	229816879.7335488	227749391.51590052	235072971.10170567
04-28	473322197.43401957	447981648.2479392	450493583.5334344
04-29	320249086.3591847	337133446.4671627	307717272.75359344
04-30	296118730.16749716	290149317.88897187	294484313.21490103
04-32	713387340.995175	756991182.908814	675769411.2121702
04-34	811952905.0560255	820408378.7310249	845253035.7751104
04-37	426351087.59996617	447170643.36983687	436223893.5802421
04-39	551115413.528675	560935364.2459997	558806112.4090374
04-40	934103303.4863396	967103920.014485	949931876.6328076
05-00	34081431.49269254	34099324.279535964	37525434.37691711
05-01	181314753.82817113	197504987.27674767	177064154.0871689
05-02	166939648.13104042	167998981.13601625	148564256.45191002
05-04	221932000.0010716	226392715.17149362	224143554.5659636
05-06	249459609.8130626	272948111.7184051	248828432.83388978
05-09	183349801.05858442	170994233.2718158	178605450.38416883
05-11	247983462.66955236	232230499.2098417	235846781.7751454
05-12	479362813.5047141	502597450.1759557	468836257.2630707
05-14	428288904.60994226	403167117.7025108	432172166.4706117
05-15	253933673.81011787	278611217.21847296	247549569.20775577
05-16	283068757.99273217	277214627.4344381	317213271.3319045
05-18	275550893.78875196	265252801.72079176	262317501.74640062
05-20	283183094.0954776	310410327.73672473	271953222.6578574
05-24	220175998.56863216	236474689.69861737	194981038.4359131
05-25	424810032.92976415	464477922.1036185	430151688.06109524
05-26	354307295.8742666	370358207.5150104	318585916.8903325
05-28	405289321.2663157	387837042.5986688	394357561.15559965
05-29	586704979.0559583	642737209.9711328	578618115.2956735
05-30	530678315.7189506	523567136.84377664	511846453.6422374
05-32	674857075.6070455	701934244.4355118	733531602.1050428
05-34	650760986.4006333	681582717.6465526	683116640.1488199
05-37	519835107.1179676	515806122.7006556	554121790.0877421
05-39	1363420694.2315376	1405283120.3030634	1303265290.3220224
05-40	1182950136.8111973	1237496362.2260883	1249703661.962288
06-00	113207553.23846252	115338263.9063934	116015105.91544062
06-01	212705314.09725276	201012894.5732538	220909421.32774264
06-02	184714090.2939071	187468529.94587648	194221683.1324988
06-04	289183690.7865832	308362149.23714453	276043715.3107015
06-06	330039298.56881005	318577564.1071011	323037224.0689134
06-09	326991648.1454163	324545185.89735496	341094732.7168139
06-11	242375645.18359625	237102114.04097298	210192775.63251245
06-12	394975092.78698415	431495748.42417073	424861437.77855915
06-14	392313259.5221362	405500766.8962958	403163311.6749104
06-15	223613121.17518514	228168811.8232675	223102120.91052
06-16	284948206.421294	273978896.19588816	288089869.47180253
06-18	413081346.2375651	424219035.3323822	391808993.5692231
06-20	268285237.127495	259239562.23913106	263591005.19999593
06-24	255105833.4275029	255511841.48235494	269140281.08294976
06-25	315286412.9468895	305262731.4849683	335748847.5259386
06-26	336115218.19252867	347483194.41871035	381427314.9786962
06-28	507566307.76533496	522199211.3593672	505690224.2694982
06-29	525655897.0349977	520181223.5742665	508347284.50945055
06-30	460033817.0472398	469142641.0273431	448205566.3369041
06-32	644532691.4578776	609306997.6503236	611724627.9630882
