sampleID	measurement1	measurement2
11-05	104851907664.215	58127971812.0219
11-07	232276202004.253	268180662971.899
11-10	242862600656.182	271440158539.576
11-12	138329628745.027	162994899409.2
11-13	158175668664.712	87253038649.1106
11-15	157070056987.08	185964404218.265
11-16	148183427449.911	224815212264.665
11-17	114116045511.139	212591047536.242
11-19	60472647459.883	106512351515.873
11-21	192183463747.15	78707621449.0937
11-25	68054370911.848	115576000610.856
11-26	89687717446.4569	135925001442.092
11-27	59342086999.5197	105590374588.625
11-29	154915159110.276	178652985826.68
11-30	33889860205.3809	62455455846.4635
11-31	51420412454.809	68379725459.3452
11-33	15692838968.0225	21867469021.2075
11-35	16236442755.08	27725949064.5012
11-38	8036552516.59633	25758695716.5731
11-40	43572954971.2365	44544390890.5293
11-41	30440009382.1253	14063468734.4486
11-42	27871155876.2967	39700816736.3941
12-01	15169928208.9286	35845203354.3652
12-02	25829131095.5462	14379176276.9974
12-03	17358299591.3352	25545492362.9997
12-05	38673251331.8273	65895561609.5377
12-07	22472169831.9047	13785678969.2055
12-10	36875696703.8306	14249895860.7607
12-12	43652771551.2044	46296033106.5568
12-13	15916338471.6304	9091024681.58081
12-15	16176108122.9131	39690892192.8967
12-16	10543448733.1975	21310077240.6667
12-17	20704900835.6359	44422474438.806
12-19	12481424096.7166	14137014376.4133
12-21	3367723349.10735	4332127167.16242
12-25	42111271891.5435	57489534196.7578
12-26	48594445603.6968	90896970424.9789
12-27	114228125696.192	200929144418.176
12-29	240818365726.204	300394639826.227
12-30	51234063163.1518	117200297537.339
12-31	113172933841.261	105818516900.138
12-33	36009720653.1827	63945938779.7269
12-35	54900239765.1069	103708617394.589
12-38	130483779731.79	72915135752.8864
12-40	91537618935.3925	142633725573.285
12-41	104562873961.67	116752263739.724
12-42	53811568832.1906	59533375547.3362
13-01	61864359019.5524	117617965772.192
13-02	56401672660.1751	112417270871.923
13-03	58510286696.3937	78810305332.1918
13-05	24516193361.5728	54736700180.9469
13-07	50886522819.8901	64139017664.9085
13-10	67835565713.7601	89136404951.7556
13-12	139880265855.401	356556365786.155
13-13	182855772250.335	292974511669.177
13-15	204354988157.849	83166027041.6353
13-16	54848680457.6318	38603114700.0782
13-17	47277340086.8274	61964996641.0904
13-19	51842146274.6265	76842491887.3428
13-21	8789862274.90607	14272595703.0613
13-25	54539167390.6411	153266535336.278
13-26	83377032911.178	147765962549.853
13-27	80198158181.7277	63666898149.4403
13-29	19174521066.7664	45132136822.8485
13-30	27310256565.1272	9790780875.40144
13-31	21273693001.2417	56174608813.0741
13-33	102571037717.019	113628396689.643
13-35	28556261159.623	34660935543.3522
13-38	26577636530.4254	45905710800.7707
13-40	9967287903.28048	23827311972.5781
13-41	19836330311.1077	46919573275.586
13-42	10620520882.5593	18214007637.7543
14-01	48316798165.1025	48357223459.4125
14-02	34542296863.415	38340355669.2199
14-03	9680789489.83652	18170867759.4424
14-05	53104521353.7375	91048937417.1729
14-07	30225086209.8204	55445539783.3065
14-10	10568461765.1198	13510545660.0425
14-12	4420050606.86623	6450838206.83103
14-13	25123892040.3748	15012157870.6397
14-15	48142541421.7978	91799759092.8318
14-16	45284392140.9171	84462312666.8538
14-17	96863642011.9255	239540576290.787
14-19	170161355934.288	176124713227.967
14-21	138797814935.012	388014770512.985
14-25	152014815228.507	229939963588.285
14-26	270827545162.436	151980918359.956
14-27	47671105860.8496	65744486695.667
14-29	60289609631.9058	46726905169.5713
14-30	117497257805.151	168504725006.075
14-31	98583752483.4833	127535908233.836
14-33	93747288143.8248	190328625522.455
14-35	310024402422.599	243958772589.478
14-38	32080195171.851	50813227798.8363
14-40	118309900990.274	203515393194.646
14-41	128640496190.261	246767681967.468
14-42	55552984935.1276	81116391666.5213
15-01	99794370655.848	167858817180.54
15-02	66398430002.4606	79537657523.3797
15-03	3234545.74142511	6191312.03392561
15-05	39501640.1208825	25256051.4321287
15-07	102353644677.422	155902392892.162
15-10	47753674879.0655	83301950314.0943
15-12	63508832024.5631	92731729112.7621
15-13	33208488799.6222	45643772606.1821
15-15	38773253675.9236	61890002478.1704
15-16	15035314732.0318	29560939680.426
15-17	10286138745.8608	22160616078.9548
15-19	25179208584.0092	74769857567.2651
15-21	40254881260.4985	56359342569.0413
15-25	41416826861.5791	60066753323.3994
15-26	39684137266.8104	40454651406.4153
15-27	72188010818.3658	130692644727.298
15-29	63835950228.3247	150958501348.336
15-30	55885857818.2686	93724114544.9638
15-31	81546146975.8632	104904537559.544
15-33	100578499420.589	150261346412.149
15-35	493590779177.781	456885584676.691
15-38	152798473306.145	182881269997.848
15-40	14881136911.4207	28600233381.6049
15-41	13077607911.2722	12623084950.9703
15-42	420584222935.626	294949555296.861
