sampleID	measurement1	measurement2	measurement3
4-11.0	174942688.51711622	174881772.0922858	174301249.9467026
4-12.0	84707870.01775888	84729714.0355005	85618299.419224
4-13.0	185728056.07817212	186533444.08992523	185644252.00431496
4-14.0	77320189.3178672	76992227.80073954	77603049.35163769
4-15.0	110312538.55286181	110132911.42368823	110276417.60832235
4-16.0	98227353.87228836	98458400.8872488	98398352.58567607
4-17.0	100733677.01939848	100890543.06297135	101067739.15032971
4-18.0	81234552.13019538	81331864.12117063	80785886.95731716
4-19.0	116369201.80940509	116154034.47665028	116351201.67157538
4-2.0	62245730.41021468	62548411.412940934	62737118.49644328
4-20.0	144298585.50101262	145838156.34959832	143724637.48032278
4-21.0	198361389.3281599	198764475.03801042	197799590.3463741
4-22.0	96341895.12060894	96248840.07300664	96193677.31674086
4-22.3	128987178.1587705	129474582.19519751	129160681.43904941
4-24.0	72292072.86028337	72097197.78099586	72481809.86250514
4-25.0	67003851.366774894	66752690.664637	67428458.67747483
4-26.0	68436241.72935309	68447468.26626574	68607160.63859831
4-27.0	77589878.38995655	76587884.00666592	77565804.9175345
4-28.0	60603629.08670837	60253961.18759217	60985179.575113915
4-29.0	87242961.40046264	87091175.28663796	87550105.05409433
4-3.0	54313784.14755095	53946245.79600527	53907604.075551465
4-30.0	92482485.42063898	92004978.41756167	93650709.49041842
4-31.0	68315196.63124172	68166013.88848266	68919759.26952423
4-32.0	73659799.63601652	73054697.16436455	73597846.50629176
4-33.0	65896983.73558441	65763189.20281634	66021499.41472328
4-34.0	100164687.87040511	99896612.02562125	100827957.77451397
4-35.0	80576217.48788543	80586452.7658662	80506841.04526578
4-36.0	91531132.9544708	92059351.81421617	91865382.58861347
4-37.0	84928517.012138	85001769.73349191	85397568.07055777
4-37.01	84928517.012138	85001769.73349191	85397568.07055777
4-4.0	102774312.03120264	102785135.20496973	102252821.85870841
4-5.0	105397847.98514251	105450259.41386035	105080425.57943983
4-6.0	115412527.6535473	115543747.52828172	115944238.01450993
4-7.0	104952658.49434957	104419111.37352183	105194477.01659684
4-8.0	75255258.31324181	75212071.07967375	75602861.05711836
4-9.0	125702368.13430205	125896421.94561839	125619047.56739788
5-0.0	2917800.73538875	2897802.712963222	2913584.437303483
5-1.0	32932480.20296353	33075020.691679884	32603379.428150978
5-10.0	169144305.38397974	170058848.3750163	168175108.153423
5-11.0	145646401.81575632	145186613.61120373	145680676.85242897
5-12.0	151895249.25992465	151711958.9399816	152521480.88189855
5-13.0	91276121.94271925	90875332.898623	91518541.44950548
5-14.0	95465724.31109616	95799558.63326994	95404510.74640797
5-15.0	188458891.73388955	187458907.85301274	188202802.89276144
5-16.0	159413791.8463236	159236462.3273163	159586898.9900769
5-17.0	191327714.6545722	190506038.7394114	191402534.48726618
