	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	95	147	197	173	137	119	81	117	114	78	66	150	102	66	84	93	113	37
ASV_94	55	42	28	34	51	46	30	22	22	28	22	24	39	51	73	30	46	32
ASV_95	63	70	49	52	59	70	64	61	56	66	50	59	61	97	135	77	98	68
ASV_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	12	14	11	14	7	17	0	0	3	0	3	8	2	2	3	0	0	6
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	8	15	10	11	5	25	13	17	5	9	14	15	4	3	5	10	16	15
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	14	9	10	7	13	12	3	2	4	6	3	2	2	0	0	4	5	0
ASV_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	27	24	31	31	26	30	23	22	33	28	37	28	26	41	67	32	52	32
ASV_105	0	0	5	6	0	0	4	3	4	4	5	7	0	4	4	0	6	5
ASV_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	21	32	10	19	12	28	17	17	10	21	25	9	14	13	27	20	34	42
ASV_108	129	192	387	265	139	178	0	3	5	2	0	10	44	18	53	29	47	36
ASV_109	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ASV_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	64	72	121	126	44	74	156	125	73	127	153	76	30	35	69	95	67	52
ASV_119	14	21	12	11	20	18	15	7	4	8	10	14	7	17	19	24	13	24
ASV_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	7	7	0	5	4	12	0	20	10	16	19	20	0	0	4	0	0	7
